"Date","Time","Cloud Condition","Rain Condition","Brightness Condition","Cloud Value","Cloud Sensor Temperature","Rain Value","Brightness Value","Ambient Temperature","Rain Heating Percentage","Rain Sensor Temperature","Heating Status","Switch Status","Read Cycle","Timeout Errors","Safe Status","Wind Condition","Wind Value",
"2018-06-19","20:32:22","Clear","Dry","Very Light","-14,7","22,0","2688","1","22,0","12%","25,9","","Opened","3,697","0","Safe","Calm","3,0",
"2018-06-19","20:32:32","Clear","Dry","Very Light","-14,9","21,9","2688","1","21,9","12%","25,9","","Opened","3,744","0","Safe","Calm","3,5",
"2018-06-19","20:32:42","Clear","Dry","Very Light","-15,2","21,9","2688","1","21,9","12%","25,8","","Opened","3,696","0","Safe","Calm","4,7",
"2018-06-19","20:32:52","Clear","Dry","Very Light","-14,8","21,8","2688","1","21,8","12%","25,7","","Opened","3,697","0","Safe","Windy","5,7",
"2018-06-19","20:33:02","Clear","Dry","Very Light","-14,7","21,8","2688","1","21,8","12%","25,6","","Opened","3,698","0","Safe","Windy","6,5",
"2018-06-19","20:33:12","Clear","Dry","Very Light","-14,1","21,8","2688","1","21,8","12%","25,6","","Opened","3,698","0","Safe","Windy","6,8",
"2018-06-19","20:33:22","Clear","Dry","Very Light","-14,3","21,8","2688","1","21,8","12%","25,7","","Opened","3,697","0","Safe","Windy","6,5",
"2018-06-19","20:33:32","Clear","Dry","Very Light","-14,2","21,8","2688","1","21,8","12%","25,6","","Opened","3,744","0","Safe","Windy","6,0",
"2018-06-19","20:33:42","Clear","Dry","Very Light","-14,6","21,8","2688","1","21,8","12%","25,6","","Opened","3,697","0","Safe","Windy","5,3",
"2018-06-19","20:33:52","Clear","Dry","Very Light","-14,1","21,8","2688","1","21,8","12%","25,6","","Opened","3,696","0","Safe","Calm","4,5",
"2018-06-19","20:34:02","Clear","Dry","Very Light","-14,1","21,8","2688","1","21,8","12%","25,6","","Opened","3,697","0","Safe","Calm","3,8",
"2018-06-19","20:34:12","Clear","Dry","Very Light","-14,3","21,8","2688","1","21,8","12%","25,6","","Opened","3,697","0","Safe","Calm","3,8",
"2018-06-19","20:34:22","Clear","Dry","Very Light","-14,3","21,8","2688","1","21,8","12%","25,6","","Opened","3,698","0","Safe","Calm","4,0",
"2018-06-19","20:34:32","Clear","Dry","Very Light","-14,4","21,8","2688","1","21,8","12%","25,6","","Opened","3,729","0","Safe","Calm","4,0",
"2018-06-19","20:34:42","Clear","Dry","Very Light","-14,2","21,7","2688","1","21,7","12%","25,6","","Opened","3,697","0","Safe","Calm","3,7",
"2018-06-19","20:34:52","Clear","Dry","Very Light","-14,4","21,7","2688","1","21,7","12%","25,5","","Opened","3,697","0","Safe","Calm","3,5",
"2018-06-19","20:35:02","Clear","Dry","Very Light","-14,7","21,7","2688","1","21,7","12%","25,5","","Opened","3,697","0","Safe","Calm","4,7",
"2018-06-19","20:35:12","Clear","Dry","Very Light","-14,8","21,7","2688","1","21,7","12%","25,5","","Opened","3,697","0","Safe","Windy","5,5",
"2018-06-19","20:35:22","Clear","Dry","Very Light","-14,6","21,6","2688","1","21,6","12%","25,4","","Opened","3,697","0","Safe","Windy","6,0",
"2018-06-19","20:35:32","Clear","Dry","Very Light","-14,5","21,6","2688","1","21,6","12%","25,4","","Opened","3,730","0","Safe","Windy","6,3",
"2018-06-19","20:35:42","Clear","Dry","Very Light","-14,7","21,6","2688","1","21,6","12%","25,3","Heating UP","Opened","3,700","0","Safe","Windy","6,8",
"2018-06-19","20:35:52","Clear","Dry","Very Light","-14,5","21,6","2688","1","21,6","13%","25,4","","Opened","3,696","0","Safe","Windy","7,0",
"2018-06-19","20:36:02","Clear","Dry","Very Light","-14,7","21,6","2688","1","21,6","13%","25,4","","Opened","3,697","0","Safe","Windy","6,3",
"2018-06-19","20:36:12","Clear","Dry","Very Light","-14,9","21,6","2688","1","21,6","13%","25,4","","Opened","3,698","0","Safe","Windy","6,2",
"2018-06-19","20:36:22","Clear","Dry","Very Light","-14,9","21,6","2688","1","21,6","13%","25,4","","Opened","3,713","0","Safe","Windy","6,0",
"2018-06-19","20:36:32","Clear","Dry","Very Light","-14,9","21,5","2688","1","21,5","13%","25,4","","Opened","3,900","0","Safe","Windy","6,0",
"2018-06-19","20:36:42","Clear","Dry","Very Light","-15,0","21,5","2688","1","21,5","13%","25,3","","Opened","3,698","0","Safe","Windy","5,7",
"2018-06-19","20:36:52","Clear","Dry","Very Light","-14,8","21,5","2688","1","21,5","13%","25,3","","Opened","3,698","0","Safe","Windy","5,8",
"2018-06-19","20:37:02","Clear","Dry","Very Light","-14,5","21,5","2688","1","21,5","13%","25,4","","Opened","3,696","0","Safe","Windy","5,8",
"2018-06-19","20:37:12","Clear","Dry","Very Light","-14,6","21,5","2688","1","21,5","13%","25,4","","Opened","3,697","0","Safe","Calm","5,0",
"2018-06-19","20:37:22","Clear","Dry","Very Light","-14,6","21,5","2688","1","21,5","13%","25,4","","Opened","3,699","0","Safe","Calm","4,8",
"2018-06-19","20:37:32","Clear","Dry","Very Light","-14,7","21,4","2688","1","21,4","13%","25,4","","Opened","3,728","0","Safe","Calm","4,8",
"2018-06-19","20:37:42","Clear","Dry","Very Light","-14,7","21,4","2688","1","21,4","13%","25,4","","Opened","3,697","0","Safe","Windy","5,2",
"2018-06-19","20:37:52","Clear","Dry","Very Light","-14,9","21,4","2688","1","21,4","13%","25,3","","Opened","3,698","0","Safe","Windy","5,3",
"2018-06-19","20:38:02","Clear","Dry","Very Light","-14,9","21,4","2688","1","21,4","13%","25,3","","Opened","3,698","0","Safe","Windy","5,7",
"2018-06-19","20:38:12","Clear","Dry","Very Light","-14,8","21,4","2688","1","21,4","13%","25,3","","Opened","3,822","0","Safe","Windy","6,7",
"2018-06-19","20:38:22","Clear","Dry","Very Light","-14,9","21,3","2688","1","21,3","13%","25,2","","Opened","3,697","0","Safe","Windy","7,0",
"2018-06-19","20:38:32","Clear","Dry","Very Light","-14,5","21,3","2688","1","21,3","13%","25,3","","Opened","3,745","0","Safe","Windy","6,7",
"2018-06-19","20:38:42","Clear","Dry","Very Light","-14,7","21,3","2688","1","21,3","13%","25,3","","Opened","3,698","0","Safe","Windy","6,3",
"2018-06-19","20:38:52","Clear","Dry","Very Light","-15,0","21,3","2688","1","21,3","13%","25,2","","Opened","3,702","0","Safe","Windy","6,5",
"2018-06-19","20:39:02","Clear","Dry","Very Light","-15,2","21,3","2688","1","21,3","13%","25,2","","Opened","3,698","0","Safe","Windy","6,7",
"2018-06-19","20:39:12","Clear","Dry","Very Light","-14,8","21,2","2688","1","21,2","13%","25,2","","Opened","3,700","0","Safe","Windy","6,2",
"2018-06-19","20:39:22","Clear","Dry","Very Light","-14,6","21,2","2688","1","21,2","13%","25,2","","Opened","3,697","0","Safe","Windy","5,5",
"2018-06-19","20:39:32","Clear","Dry","Very Light","-14,6","21,2","2688","1","21,2","13%","25,3","","Opened","3,728","0","Safe","Windy","5,3",
